Bloomberg,Yahoo,Industry
SPY US,SPY,Equity Fund
DIA US,DIA,Equity Fund
QQQ US,QQQ,Equity Fund
IJH US,IJH,Equity Fund
IJR US,IJR,Equity Fund
IWB US,IWB,Equity Fund
IWM US,IWM,Equity Fund
IWV US,IWV,Equity Fund
IVW US,IVW,Equity Fund
IJK US,IJK,Equity Fund
IJT US,IJT,Equity Fund
IVE US,IVE,Equity Fund
IJJ US,IJJ,Equity Fund
DVY US,DVY,Equity Fund
RSP US,RSP,Equity Fund
FXB US,FXB,Asset Allocation Fund
FXE US,FXE,Asset Allocation Fund
FXY US,FXY,Asset Allocation Fund
XLY US,XLY,Equity Fund
XLP US,XLP,Equity Fund
XLE US,XLE,Equity Fund
XLF US,XLF,Equity Fund
XLV US,XLV,Equity Fund
XLI US,XLI,Equity Fund
XLB US,XLB,Equity Fund
XLK US,XLK,Equity Fund
IYZ US,IYZ,Equity Fund
XLU US,XLU,Equity Fund
EWA US,EWA,Equity Fund
EWZ US,EWZ,Equity Fund
EWC US,EWC,Equity Fund
FXI US,FXI,Equity Fund
EWQ US,EWQ,Equity Fund
EWG US,EWG,Equity Fund
EWH US,EWH,Equity Fund
INP US,INP,Equity Fund
EWI US,EWI,Equity Fund
EWJ US,EWJ,Equity Fund
EWW US,EWW,Equity Fund
EWP US,EWP,Equity Fund
RSX US,RSX,Equity Fund
EWU US,EWU,Equity Fund
EEM US,EEM,Equity Fund
IOO US,IOO,Equity Fund
EEB US,EEB,Equity Fund
DBC US,DBC,Commodity Fund
USO US,USO,Commodity Fund
UNG US,UNG,Commodity Fund
GLD US,GLD,Commodity Fund
SLV US,SLV,Commodity Fund
SHY US,SHY,Debt Fund
IEF US,IEF,Debt Fund
TLT US,TLT,Debt Fund
AGG US,AGG,Debt Fund
BND US,BND,Debt Fund
TIP US,TIP,Debt Fund
